,pm2.5,datum_od,o3,pm10,co,no2
0,9.0,2023-02-27 17:00:00,64.0,12.0,0.2,26.22096317280453
0,12.0,2023-02-27 18:00:00,60.0,15.0,0.3,17.0
0,12.0,2023-02-27 19:00:00,62.0,14.0,0.2,14.0
0,14.0,2023-02-27 20:00:00,56.0,15.0,0.3,16.0
0,13.0,2023-02-27 21:00:00,58.0,15.0,0.3,12.0
0,14.0,2023-02-27 22:00:00,55.0,16.0,0.3,13.0
0,14.0,2023-02-27 23:00:00,59.0,16.0,0.2,10.0
0,14.0,2023-02-28 00:00:00,62.0,16.0,0.2,7.0
0,13.0,2023-02-28 01:00:00,64.0,15.0,0.2,5.0
0,13.0,2023-02-28 02:00:00,65.0,15.0,0.2,5.0
0,14.0,2023-02-28 03:00:00,63.0,15.0,0.2,5.0
0,14.0,2023-02-28 04:00:00,63.0,16.0,0.2,5.0
0,14.0,2023-02-28 05:00:00,60.0,15.0,0.2,9.0
0,15.0,2023-02-28 06:00:00,48.0,18.0,0.3,20.0
0,16.0,2023-02-28 07:00:00,53.0,20.0,0.2,16.0
0,17.0,2023-02-28 08:00:00,53.0,22.0,0.3,16.0
0,17.0,2023-02-28 09:00:00,54.0,22.0,0.2,13.0
0,17.0,2023-02-28 10:00:00,53.0,21.0,0.2,14.0
0,17.0,2023-02-28 11:00:00,55.0,21.0,0.3841990555757355,14.0
0,18.0,2023-02-28 12:00:00,46.37114427860696,22.0,0.2,12.0
0,19.0,2023-02-28 13:00:00,61.0,23.0,0.2,12.0
0,19.0,2023-02-28 14:00:00,59.0,23.0,0.3,16.0
0,20.0,2023-02-28 15:00:00,53.0,25.0,0.3,22.0
0,22.0,2023-02-28 16:00:00,50.0,29.0,0.3,24.0
0,22.0,2023-02-28 17:00:00,48.0,28.0,0.3,26.22096317280453
0,24.0,2023-02-28 18:00:00,45.0,29.0,0.3,25.0
0,25.0,2023-02-28 19:00:00,44.0,30.0,0.3,26.0
0,24.0,2023-02-28 20:00:00,51.0,28.0,0.3,20.0
0,22.0,2023-02-28 21:00:00,58.0,25.0,0.3,14.0
0,23.0,2023-02-28 22:00:00,51.0,27.0,0.3,18.0
0,24.0,2023-02-28 23:00:00,54.0,27.0,0.3,13.0
0,22.0,2023-03-01 00:00:00,56.0,25.0,0.3,11.0
0,21.0,2023-03-01 01:00:00,58.0,24.0,0.3,9.0
0,28.0,2023-03-01 02:00:00,36.0,31.0,0.4,17.0
0,28.0,2023-03-01 03:00:00,44.0,31.0,0.3,12.0
0,27.0,2023-03-01 04:00:00,46.0,29.0,0.3,12.0
0,24.0,2023-03-01 05:00:00,57.0,27.0,0.3,10.0
0,24.0,2023-03-01 06:00:00,47.0,26.0,0.3,16.0
0,24.0,2023-03-01 07:00:00,36.0,27.0,0.3,28.0
0,24.0,2023-03-01 08:00:00,29.0,27.0,0.3,37.0
0,24.0,2023-03-01 09:00:00,33.0,27.0,0.3,33.0
0,26.0,2023-03-01 10:00:00,39.0,29.0,0.3,25.0
0,23.0,2023-03-01 11:00:00,48.0,30.0,0.3,19.0
0,26.0,2023-03-01 12:00:00,46.37114427860696,34.0,0.3841990555757355,26.0
0,20.0,2023-03-01 13:00:00,45.0,30.0,0.3,23.0
0,18.0,2023-03-01 14:00:00,41.0,26.0,0.3,26.0
0,16.0,2023-03-01 15:00:00,41.0,24.0,0.3,26.0
0,13.0,2023-03-01 16:00:00,37.0,19.0,0.3,28.0
0,11.0,2023-03-01 17:00:00,27.0,13.0,0.4,32.0
0,15.0,2023-03-01 18:00:00,9.0,17.0,0.4,26.22096317280453
0,15.0,2023-03-01 19:00:00,9.0,16.0,0.5,39.0
0,16.0,2023-03-01 20:00:00,3.0,17.0,0.5,46.0
0,13.0,2023-03-01 21:00:00,12.0,13.0,0.4,36.0
0,9.0,2023-03-01 22:00:00,15.0,9.0,0.4,30.0
0,8.0,2023-03-01 23:00:00,19.0,8.0,0.4,26.0
0,14.0,2023-03-02 00:00:00,16.0,15.0,0.4,25.0
0,22.0,2023-03-02 01:00:00,13.0,22.0,0.5,23.0
0,23.0,2023-03-02 02:00:00,18.0,24.0,0.4,17.0
0,21.0,2023-03-02 03:00:00,20.0,22.0,0.4,16.0
0,21.0,2023-03-02 04:00:00,8.0,22.0,0.4,27.0
0,19.0,2023-03-02 05:00:00,4.0,20.0,0.4,31.0
0,14.0,2023-03-02 06:00:00,4.0,15.0,0.4,34.0
0,16.0,2023-03-02 07:00:00,2.0,18.0,0.5,40.0
0,15.0,2023-03-02 08:00:00,2.0,17.0,0.5,47.0
0,15.0,2023-03-02 09:00:00,4.0,18.0,0.5,49.0
0,24.457279962546817,2023-03-02 11:00:00,46.37114427860696,29.09364970197157,0.3841990555757355,26.22096317280453
0,11.0,2023-03-02 12:00:00,47.0,13.0,0.3841990555757355,19.0
0,11.0,2023-03-02 13:00:00,46.37114427860696,13.0,0.3,23.0
0,12.0,2023-03-02 14:00:00,43.0,13.0,0.3,26.0
0,11.0,2023-03-02 15:00:00,44.0,14.0,0.4,28.0
0,13.0,2023-03-02 16:00:00,47.0,15.0,0.3,29.0
0,13.0,2023-03-02 17:00:00,48.0,17.0,0.3,26.0
0,15.0,2023-03-02 18:00:00,49.0,20.0,0.3,26.22096317280453
0,18.0,2023-03-02 19:00:00,36.0,23.0,0.4,34.0
0,22.0,2023-03-02 20:00:00,14.0,28.0,0.5,53.0
0,32.0,2023-03-02 21:00:00,3.0,36.0,0.7,61.0
0,32.0,2023-03-02 22:00:00,3.0,37.0,0.6,53.0
0,33.0,2023-03-02 23:00:00,13.0,37.0,0.6,39.0
0,31.0,2023-03-03 00:00:00,26.0,34.0,0.5,25.0
0,30.0,2023-03-03 01:00:00,26.0,33.0,0.5,22.0
